facility,date,dt,nu,F_nu,F_err,upperlimit
NOEMA,2022-03-24 22:14,41.48,86,3914,30,true
NOEMA,2022-03-24 22:14,41.48,102,3609,34,false
NOEMA,2022-03-25 00:45,41.58,136,3045,41,false
NOEMA,2022-03-25 00:45,41.58,152,2750,51,false
VLA,2022-03-31 04:08,47.73,31.4,2130,30,false
VLA,2022-03-31 04:08,47.73,33.5,2260,30,false
VLA,2022-03-31 04:08,47.73,35.6,2350,40,false
VLA,2022-03-31 04:08,47.73,37.5,2360,40,true
VLA,2022-03-31 04:13,47.73,8.5,270,12,false
VLA,2022-03-31 04:13,47.73,9.5,336,11,false
VLA,2022-03-31 04:13,47.73,10.5,385,12,false
VLA,2022-03-31 04:13,47.73,11.5,438,14,false
VLA,2022-03-31 04:23,47.74,12.8,583,12,false
VLA,2022-03-31 04:23,47.74,14.3,724,12,false
VLA,2022-03-31 04:23,47.74,15.9,801,14,true
VLA,2022-03-31 04:23,47.74,17.4,935,15,false

